"", "Mobile line" , "Austria" ,  43660 , "0.1"
"", "Mobile line" , "Austria" ,  43664 , "0.1"
"", "Mobile line" , "Austria" ,  43676 , "0.1"
"", "Mobile line" , "Austria" ,  43677 , "0.1"
"", "Mobile line" , "Austria" ,  43678 , "0.1"
"", "Mobile line" , "Austria" ,  43680 , "0.1"
"", "Mobile line" , "Austria" ,  43681 , "0.1"
"", "Mobile line" , "Austria" ,  43688 , "0.1"
"", "Mobile line" , "Austria" ,  43699 , "0.1"
"", "Fixed line" , "Azerbaijan" ,  994 , "0.1"
"", "Mobile line" , "Azerbaijan" ,  99440 , "0.1"
"", "Mobile line" , "Azerbaijan" ,  99450 , "0.1"
"", "Mobile line" , "Azerbaijan" ,  99451 , "0.1"
"", "Mobile line" , "Azerbaijan" ,  99455 , "0.1"
"", "Mobile line" , "Azerbaijan" ,  99460540 , "0.1"
"", "Mobile line" , "Azerbaijan" ,  99470 , "0.1"
"", "Fixed line" , "Bahamas" ,  1242 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242357 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242359 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242375 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242395 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242422 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242423 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242424 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242425 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242426 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242427 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242431 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242432 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242434 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242436 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242441 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242442 , "0.1"
"", "Mobile line" , "Bahamas" ,  1242452 , "0.1"
