"93", "Afghanistan", "Fixed Line", ""
"937", "Afghanistan", "Mobile Line", ""
"9375", "Afghanistan", "Mobile Line", "AT"
"9370", "Afghanistan", "Mobile Line", "AWCC"
"93708996", "Afghanistan", "Mobile Line", "AWCC"
"93708997", "Afghanistan", "Mobile Line", "AWCC"
"9378", "Afghanistan", "Mobile Line", "Etisalat"
"9377", "Afghanistan", "Mobile Line", "MTN"
"9379", "Afghanistan", "Mobile Line", "Roshan"
"93798002", "Afghanistan", "Mobile Line", "Roshan"
"93798009", "Afghanistan", "Mobile Line", "Roshan"
"355", "Albania", "Fixed Line", ""
"35538", "Albania", "Fixed Line", ""
"355222", "Albania", "Fixed Line", "Albtelekom"
"355242", "Albania", "Fixed Line", "Albtelekom"
"355322", "Albania", "Fixed Line", "Albtelekom"
"355342", "Albania", "Fixed Line", "Albtelekom"
"355352", "Albania", "Fixed Line", "Albtelekom"
"355472", "Albania", "Fixed Line", "Albtelekom"
"355522", "Albania", "Fixed Line", "Albtelekom"
"355532", "Albania", "Fixed Line", "Albtelekom"
"355542", "Albania", "Fixed Line", "Albtelekom"
"355822", "Albania", "Fixed Line", "Albtelekom"
"355832", "Albania", "Fixed Line", "Albtelekom"
"355842", "Albania", "Fixed Line", "Albtelekom"
"355852", "Albania", "Fixed Line", "Albtelekom"
"3552112", "Albania", "Fixed Line", "Albtelekom"
"3552122", "Albania", "Fixed Line", "Albtelekom"
"3552132", "Albania", "Fixed Line", "Albtelekom"
"3552142", "Albania", "Fixed Line", "Albtelekom"
"3552152", "Albania", "Fixed Line", "Albtelekom"
"3552162", "Albania", "Fixed Line", "Albtelekom"
"3552172", "Albania", "Fixed Line", "Albtelekom"
"3552182", "Albania", "Fixed Line", "Albtelekom"
"3552192", "Albania", "Fixed Line", "Albtelekom"
"3552712", "Albania", "Fixed Line", "Albtelekom"
"3552812", "Albania", "Fixed Line", "Albtelekom"
"3553112", "Albania", "Fixed Line", "Albtelekom"
"3553122", "Albania", "Fixed Line", "Albtelekom"
"3553132", "Albania", "Fixed Line", "Albtelekom"
"3553612", "Albania", "Fixed Line", "Albtelekom"
"3553682", "Albania", "Fixed Line", "Albtelekom"
"3553712", "Albania", "Fixed Line", "Albtelekom"
"3553812", "Albania", "Fixed Line", "Albtelekom"
"3553822", "Albania", "Fixed Line", "Albtelekom"
"3553912", "Albania", "Fixed Line", "Albtelekom"
"3553922", "Albania", "Fixed Line", "Albtelekom"
"3553932", "Albania", "Fixed Line", "Albtelekom"
"3555112", "Albania", "Fixed Line", "Albtelekom"
"3555122", "Albania", "Fixed Line", "Albtelekom"
"3555132", "Albania", "Fixed Line", "Albtelekom"
"3555142", "Albania", "Fixed Line", "Albtelekom"
"3555542", "Albania", "Fixed Line", "Albtelekom"
"3555612", "Albania", "Fixed Line", "Albtelekom"
"3555632", "Albania", "Fixed Line", "Albtelekom"
"3555712", "Albania", "Fixed Line", "Albtelekom"
"3555732", "Albania", "Fixed Line", "Albtelekom"
"3555772", "Albania", "Fixed Line", "Albtelekom"
"3555812", "Albania", "Fixed Line", "Albtelekom"
"3555822", "Albania", "Fixed Line", "Albtelekom"
"3555912", "Albania", "Fixed Line", "Albtelekom"
"3558112", "Albania", "Fixed Line", "Albtelekom"
"3558122", "Albania", "Fixed Line", "Albtelekom"
"3558132", "Albania", "Fixed Line", "Albtelekom"
"3558142", "Albania", "Fixed Line", "Albtelekom"
"3558152", "Albania", "Fixed Line", "Albtelekom"
"3558612", "Albania", "Fixed Line", "Albtelekom"
"3558712", "Albania", "Fixed Line", "Albtelekom"
"3558752", "Albania", "Fixed Line", "Albtelekom"
"3558812", "Albania", "Fixed Line", "Albtelekom"
"3558852", "Albania", "Fixed Line", "Albtelekom"
"3558912", "Albania", "Fixed Line", "Albtelekom"
"3558932", "Albania", "Fixed Line", "Albtelekom"
"35568", "Albania", "Mobile Line", "AMC"
"35567", "Albania", "Mobile Line", "Eagle"
"35566", "Albania", "Mobile Line", "Plus"
"35569", "Albania", "Mobile Line", "Vodafone"
"3554249", "Albania", "Fixed Line", "OLO"
"3554250", "Albania", "Fixed Line", "OLO"
"3554251", "Albania", "Fixed Line", "OLO"
"3554252", "Albania", "Fixed Line", "OLO"
"355422", "Albania", "Fixed Line", "Tirana"
"355423", "Albania", "Fixed Line", "Tirana"
"3554", "Albania", "Fixed Line", "Tirana Region"
"35533", "Albania", "Fixed Line", "Vlore"
"213", "Algeria", "Fixed Line", ""
"21321", "Algeria", "Fixed Line", "Algiers"
"2131", "Algeria", "Fixed Line", "CAT"
"2136", "Algeria", "Mobile Line", ""
"2137", "Algeria", "Mobile Line", ""
"21361", "Algeria", "Mobile Line", ""
"21390", "Algeria", "Mobile Line", ""
"21391", "Algeria", "Mobile Line", ""
"21392", "Algeria", "Mobile Line", ""
"21393", "Algeria", "Mobile Line", ""
"21394", "Algeria", "Mobile Line", ""
"21395", "Algeria", "Mobile Line", ""
"21396", "Algeria", "Mobile Line", ""
"21397", "Algeria", "Mobile Line", ""
"21398", "Algeria", "Mobile Line", ""
"21399", "Algeria", "Mobile Line", ""
"21366", "Algeria", "Mobile Line", "Mobilis"
"21369", "Algeria", "Mobile Line", "Mobilis"
"21377", "Algeria", "Mobile Line", "Orascom"
"21379", "Algeria", "Mobile Line", "Orascom"
"213790", "Algeria", "Mobile Line", "Orascom"
"213791", "Algeria", "Mobile Line", "Orascom"
"213792", "Algeria", "Mobile Line", "Orascom"
"213793", "Algeria", "Mobile Line", "Orascom"
"213794", "Algeria", "Mobile Line", "Orascom"
